outage_branch,outage_from_bus,outage_from_name,outage_to_bus,outage_to_name,outage_base_loading_pct,status,component_count,component_sizes,converged,max_loading_pct,worst_branch,worst_from_bus,worst_from_name,worst_to_bus,worst_to_name,overloaded_branch_count,min_voltage_pu,min_voltage_bus,min_voltage_name,voltage_violation_count,max_voltage_violation_pu,ac_loss_mw,message
1,1,철원,2,연천,12.951082840724906,OK,1,,True,98.49708169866683,264,134,광양,193,남해,0,0.9595377438594281,72,홍천,0,0.0,832.2171893564664,
2,1,철원,3,포천,9.829398711133297,OK,1,,True,98.49170921011832,264,134,광양,193,남해,0,0.9595793688749344,72,홍천,0,0.0,832.0968846672185,
3,1,철원,66,화천,28.65892072589461,OK,1,,True,98.58435626446654,264,134,광양,193,남해,0,0.9570772154133615,67,양구,0,0.0,833.7700397964945,
4,2,연천,3,포천,4.684857341913984,OK,1,,True,98.48414175745917,264,134,광양,193,남해,0,0.9599622419366495,72,홍천,0,0.0,832.3446431449993,
5,2,연천,4,동두천,6.76695844670191,OK,1,,True,98.4842139475984,264,134,광양,193,남해,0,0.9601896393771858,72,홍천,0,0.0,832.1148000348039,
6,2,연천,6,강화,7.95394540021276,OK,1,,True,98.48957378788991,264,134,광양,193,남해,0,0.9601912957401888,72,홍천,0,0.0,832.4578840078029,
7,3,포천,4,동두천,22.93317006095305,OK,1,,True,98.53131430712733,264,134,광양,193,남해,0,0.9601584717602357,72,홍천,0,0.0,835.5125647820387,
8,3,포천,7,경기북부,6.554315042226075,OK,1,,True,98.48423306520463,264,134,광양,193,남해,0,0.9601535400125581,72,홍천,0,0.0,832.0092695350759,
9,3,포천,28,양평,42.24378560278411,LIMIT_VIOLATION,1,,True,104.7660152093941,43,16,남양주,28,양평,1,0.9582880094760017,67,양구,0,0.0,849.3129670247581,
10,4,동두천,7,경기북부,2.5056393035373263,OK,1,,True,98.48260193928989,264,134,광양,193,남해,0,0.9601629772563295,72,홍천,0,0.0,832.06986124799,
11,4,동두천,8,파주,22.260785275620552,OK,1,,True,98.55868186887268,264,134,광양,193,남해,0,0.9602116261323049,72,홍천,0,0.0,837.8895612264168,
12,5,가평,16,남양주,20.96568411612005,OK,1,,True,98.53333515206552,264,134,광양,193,남해,0,0.957088852084547,72,홍천,0,0.0,832.1692170797614,
13,5,가평,20,하남,20.157749406464923,OK,1,,True,98.53030434379508,264,134,광양,193,남해,0,0.9577960125657538,72,홍천,0,0.0,832.2686880959518,
14,5,가평,66,화천,22.607340753944257,OK,1,,True,98.52429649075927,264,134,광양,193,남해,0,0.9590762997801819,67,양구,0,0.0,832.9207092073193,
15,5,가평,70,강원,25.85243860513769,OK,1,,True,98.55578173424242,264,134,광양,193,남해,0,0.9552925698946325,72,홍천,0,0.0,832.2861561888858,
16,6,강화,8,파주,1.684277459562879,OK,1,,True,98.48201881545539,264,134,광양,193,남해,0,0.9602068729202965,72,홍천,0,0.0,832.0031360411813,
17,6,강화,11,김포,1.3751308011676475,OK,1,,True,98.48249452290176,264,134,광양,193,남해,0,0.96020440738131,72,홍천,0,0.0,832.0251998164895,
18,7,경기북부,9,노원도봉,22.172142128906184,OK,1,,True,98.49212558451367,264,134,광양,193,남해,0,0.96015017217359,72,홍천,0,0.0,832.451964991822,
19,7,경기북부,14,서대문은평,23.952858604964227,OK,1,,True,98.52788853114122,264,134,광양,193,남해,0,0.9600066678443272,72,홍천,0,0.0,834.443706660415,
20,7,경기북부,28,양평,54.02782656901483,LIMIT_VIOLATION,1,,True,108.81333010754935,43,16,남양주,28,양평,1,0.9592926869298892,72,홍천,0,0.0,849.9829097213951,
21,8,파주,10,고양,44.44443596509993,OK,1,,True,98.45893872838151,264,134,광양,193,남해,0,0.9600823028196097,72,홍천,0,0.0,829.7175502883329,
22,8,파주,11,김포,9.405667848438078,OK,1,,True,98.47923689606802,264,134,광양,193,남해,0,0.960231699896576,72,홍천,0,0.0,831.1392190169136,
23,8,파주,14,서대문은평,14.861410670178707,OK,1,,True,98.49728836335706,264,134,광양,193,남해,0,0.9601728239940109,72,홍천,0,0.0,834.4709404825844,
24,9,노원도봉,12,강북성북,27.013752316110384,OK,1,,True,98.48323526974185,264,134,광양,193,남해,0,0.9602157824681846,72,홍천,0,0.0,832.1140849080257,
25,9,노원도봉,13,동대문중랑,8.169475446850285,OK,1,,True,98.48245518517213,264,134,광양,193,남해,0,0.9602106198239116,72,홍천,0,0.0,832.0376842389669,
26,9,노원도봉,15,구리,41.355108646817555,OK,1,,True,98.48380160706719,264,134,광양,193,남해,0,0.9602106153957469,72,홍천,0,0.0,832.2337076716649,
27,10,고양,14,서대문은평,8.948629883248755,OK,1,,True,98.48448001058827,264,134,광양,193,남해,0,0.9602166801674474,72,홍천,0,0.0,832.3698508681991,
28,10,고양,24,강서양천,66.88346032974873,OK,1,,True,98.45137659094264,264,134,광양,193,남해,0,0.9601878503463008,72,홍천,0,0.0,829.5695080162259,
29,11,김포,21,서인천,13.687362021327631,OK,1,,True,98.49220965636295,264,134,광양,193,남해,0,0.9601651433153644,72,홍천,0,0.0,834.3683554651361,
30,11,김포,25,인천,6.6731994829315635,OK,1,,True,98.48315355490863,264,134,광양,193,남해,0,0.9602098129214574,72,홍천,0,0.0,832.2056598223426,
31,12,강북성북,14,서대문은평,0.6385399795647779,OK,1,,True,98.48229039943706,264,134,광양,193,남해,0,0.9602155618106437,72,홍천,0,0.0,832.0295407353988,
32,12,강북성북,18,서울,21.979765316965295,OK,1,,True,98.48334344352875,264,134,광양,193,남해,0,0.960197903484056,72,홍천,0,0.0,832.1945827341551,
