hour,gross_demand_mw,solar_mw,wind_mw,hydro_mw,renewable_mw,net_demand_mw,online_generator_count,dc_opf_success,ac_pf_converged,min_voltage_pu,min_voltage_bus,min_voltage_bus_name,voltage_violation_count,max_branch_loading_pct,max_loading_branch,max_loading_from_bus,max_loading_to_bus,max_loading_route,overloaded_branch_count,generator_p_violation_count,generator_q_violation_count,ac_loss_mw,risk
1,65456.564842999986,0.0,509.9506922613787,361.78905599999996,871.7397482613786,64584.82509473861,108,True,True,0.9572508878181775,67,양구,0,105.59545529043955,264,134,193,광양 → 남해,1,1,1,930.4192609516613,True
2,62828.187029,0.0,557.3276544709745,365.764752,923.0924064709744,61905.09462252903,103,True,True,0.9575527727239526,67,양구,0,104.98189862131409,264,134,193,광양 → 남해,2,1,1,938.141611943116,True
3,61291.45382699999,0.0,332.3827417705491,365.764752,698.147493770549,60593.30633322944,103,True,True,0.9585806625391055,67,양구,0,101.07276175603694,43,16,28,남양주 → 양평,2,1,1,922.2953695461474,True
4,60664.44930299999,0.0,361.86520581361833,361.78905599999996,723.6542618136183,59940.79504118637,103,True,True,0.9579772820454104,67,양구,0,101.06677161488788,43,16,28,남양주 → 양평,1,1,1,915.4501439785163,True
5,60846.36113199999,0.0,717.2991861113519,353.83766399999996,1071.1368501113518,59775.224281888644,103,True,True,0.9595745370721136,67,양구,0,101.04226225833347,43,16,28,남양주 → 양평,1,1,1,897.9085872323194,True
6,62860.80305499999,0.0,590.4622504454248,337.93480800000003,928.3970584454248,61932.405996554575,103,True,True,0.9579342716407472,67,양구,0,105.0069113662906,264,134,193,광양 → 남해,2,1,1,931.3526850734197,True
7,66875.00171199998,0.0,824.0089711987957,326.00772,1150.0166911987958,65724.98502080119,110,True,True,0.9551744371593964,67,양구,0,101.84540609037096,264,134,193,광양 → 남해,2,1,0,962.2219280120335,True
8,73280.741117,0.0,801.4623546466464,473.10876,1274.5711146466465,72006.17000235333,124,True,True,0.9553910672197444,67,양구,0,103.16986587860282,264,134,193,광양 → 남해,1,1,0,949.7489346608927,True
9,81863.062579,2448.794307649758,373.49219978896474,2059.414704,4881.701211438723,76981.36136756129,134,True,True,0.9546052372317622,74,횡성,0,104.4903218745671,264,134,193,광양 → 남해,2,1,1,984.3819620585564,True
10,85406.8836,8994.49097526478,1064.4683871386128,1940.143536,11999.102898403395,73407.78070159661,128,True,True,0.9527005479228156,72,홍천,0,100.99116215194259,351,183,190,진해 → 사천,5,1,3,1085.4367930967856,True
11,86430.271167,13528.166985530635,1159.9439948645208,1991.8277279999998,16679.93870839516,69750.33245860483,121,True,True,0.953105527561737,72,홍천,0,104.069249707948,127,57,97,아산 → 청양,5,1,3,1138.4884879094607,True
12,85457.10753099999,16509.028860164308,1067.8971323732874,1936.1678399999996,19513.093832537597,65944.0136984624,121,True,True,0.9558426265173309,74,횡성,0,103.91873608244737,127,57,97,아산 → 청양,2,1,3,1115.1732472722651,True
13,81906.90948099998,17580.484085474345,1036.3976094955833,1141.027056,19757.908750969927,62149.000730030064,121,True,True,0.96101017134098,74,횡성,0,104.89090597286648,216,109,111,익산 → 김제,4,1,0,1052.6337168994141,True
14,84206.383164,16741.090365404903,865.2948485557711,1427.2777440000002,19033.66295796067,65172.72020603932,121,True,True,0.9577033957938326,74,횡성,0,104.33838096388735,216,109,111,익산 → 김제,3,1,1,1120.3266134925361,True
15,83944.69015599998,14007.882025495335,1018.2186518080623,1379.56932,16405.669997303397,67539.02015869658,121,True,True,0.955573277626407,74,횡성,0,103.9628134209933,127,57,97,아산 → 청양,3,1,3,1138.8101204701525,True
16,82874.456948,9555.456027320652,842.1318698087791,1574.378784,11971.966681129432,70902.49026687056,121,True,True,0.9559872566310724,74,횡성,0,102.20364776926456,351,183,190,진해 → 사천,4,1,1,1063.4696455646044,True
17,81820.972905,3782.8506675418193,960.6519411966824,1443.180528,6186.683136738502,75634.2897682615,131,True,True,0.9552357609130011,74,횡성,0,102.66586390743593,264,134,193,광양 → 남해,2,1,1,997.4011972105945,True
18,80320.80926799998,0.0,1026.5073799035158,1419.326352,2445.833731903516,77874.97553609646,134,True,True,0.9568674082953519,74,횡성,0,105.38297567868449,264,134,193,광양 → 남해,2,1,0,934.0786815966421,True
19,78538.367951,0.0,817.4858673475462,1208.614032,2026.0998993475464,76512.26805165244,132,True,True,0.9585465667261377,74,횡성,0,105.35789529040889,264,134,193,광양 → 남해,1,1,0,920.4845395176671,True
20,76569.44698999998,0.0,960.742507224593,1073.4400799999999,2034.1825872245931,74535.26440277538,128,True,True,0.9578691145314491,74,횡성,0,105.49073109988092,264,134,193,광양 → 남해,1,1,0,933.9716403375496,True
21,73699.095757,0.0,769.4198956858729,799.1164799999999,1568.536375685873,72130.55938131412,122,True,True,0.9591189487188124,74,횡성,0,105.42228377994208,264,134,193,광양 → 남해,1,1,0,925.9900817541347,True
22,71126.00552799998,0.0,731.3588740911796,449.254584,1180.6134580911796,69945.3920699088,119,True,True,0.9599665024029156,74,횡성,0,105.30935240738826,264,134,193,광양 → 남해,1,1,0,904.2344724735012,True
23,70982.90845,0.0,769.6271085284623,365.764752,1135.391860528462,69847.51658947153,119,True,True,0.9601718068308658,74,횡성,0,105.30451803319083,264,134,193,광양 → 남해,1,1,0,904.2734200710402,True
24,70158.876532,0.0,599.5557892123476,329.98341600000003,929.5392052123475,69229.33732678764,117,True,True,0.957826491090854,72,홍천,0,105.32549748236444,264,134,193,광양 → 남해,1,1,0,902.1590862409794,True
